label,pattern,replace
anoplura,Linognathus ferrisi,Solenopotes ferrisi
anoplura,Linognathus forficula,Linognathus fahrenholzi
anoplura,Linognathus fractus,
anoplura,Linognathus gazella,Linognathus breviceps
anoplura,Linognathus geigyi,
anoplura,Linognathus gilvus,Linognathus breviceps
anoplura,Linognathus gnu,
anoplura,Linognathus gonolobatus,
anoplura,Linognathus gorgonus,
anoplura,Linognathus Haematopinus ovillus,Linognathus ovillus
anoplura,Linognathus hippotragi,
anoplura,Linognathus hologastrus,Solenopotes hologastrus
anoplura,Linognathus kimi,
anoplura,Linognathus leptocephalus,Prolinognathus leptocephalus
anoplura,Linognathus lewisi,
anoplura,Linognathus limnotragi,
anoplura,Linognathus nesotragi,
anoplura,Linognathus nevilli,
anoplura,Linognathus oryx,
anoplura,Linognathus ourebiae,
anoplura,Linognathus oviformis,
anoplura,Linognathus ovillus,
anoplura,Linognathus panamensis,
anoplura,Linognathus pedalis,
anoplura,Linognathus peleus,
anoplura,Linognathus petasmatus,
anoplura,Linognathus piliferus,Linognathus setosus
anoplura,Linognathus pithodes,
anoplura,Linognathus praelongiceps,Microthoracius praelongiceps
anoplura,Linognathus raphiceri,
anoplura,Linognathus reduncae,
anoplura,Linognathus rupicaprae,Linognathus stenopsis
anoplura,Linognathus saccatus,
anoplura,Linognathus samburi,
anoplura,Linognathus schistopygus,Linognathus stenopsis
anoplura,Linognathus setosus,
anoplura,Linognathus setosus bhatii,Linognathus bhatii
anoplura,Linognathus sosninae,
anoplura,Linognathus spicatus,
